interval_5min,1/1/2025_pos,1/1/2025_neg,1/2/2025_pos,1/2/2025_neg,1/3/2025_pos,1/3/2025_neg,1/4/2025_pos,1/4/2025_neg,1/5/2025_pos,1/5/2025_neg,1/6/2025_pos,1/6/2025_neg,1/7/2025_pos,1/7/2025_neg,1/8/2025_pos,1/8/2025_neg,1/9/2025_pos,1/9/2025_neg,1/10/2025_pos,1/10/2025_neg,1/11/2025_pos,1/11/2025_neg,1/12/2025_pos,1/12/2025_neg,1/13/2025_pos,1/13/2025_neg,1/14/2025_pos,1/14/2025_neg,1/15/2025_pos,1/15/2025_neg,1/16/2025_pos,1/16/2025_neg,1/17/2025_pos,1/17/2025_neg,1/18/2025_pos,1/18/2025_neg,1/19/2025_pos,1/19/2025_neg,1/20/2025_pos,1/20/2025_neg,1/21/2025_pos,1/21/2025_neg,1/22/2025_pos,1/22/2025_neg,1/23/2025_pos,1/23/2025_neg,1/24/2025_pos,1/24/2025_neg,1/25/2025_pos,1/25/2025_neg,1/26/2025_pos,1/26/2025_neg,1/27/2025_pos,1/27/2025_neg,1/28/2025_pos,1/28/2025_neg,1/29/2025_pos,1/29/2025_neg,1/30/2025_pos,1/30/2025_neg,1/31/2025_pos,1/31/2025_neg
00:50:00-00:55:00,0.620200461755102,-0.8945837900000001,,-0.7130577067866667,0.7855324221367522,-0.23584948803030303,0.4833992918952381,-0.1575956896888889,0.012113472,-0.4542958590612245,0.540827929025,-0.735045460790909,0.4141209900483871,-0.199295878,0.4161361385333333,,0.543249979623077,-0.31179803685,0.16565262614893617,-0.2768951114174757,0.7615830692333334,,0.3717670007156863,-0.1423304950625,0.5980842093466666,,0.5714666772,-0.19238992804,0.2454134137162162,-0.23814437101315789,0.15891999105263158,-0.6053716456183207,,-0.9943755603466667,0.27476535183,-0.33385241172,0.06757005561538462,-0.4360012710729927,0.36893354705000003,-0.2033909591142857,0.15014919592753623,-0.23561337091358023,,-0.9900359097999999,0.01617476957142857,-0.2419645367062937,0.341531059974026,-0.2640231972739726,0.87266763624,,,-0.5854952989733333,0.4277076557183098,-0.024837578625,0.5562152418130081,-0.14278659222222223,,-0.8108149816533333,0.28293327135714286,-0.8836204130955883,0.1618788185357143,-0.48041322471311476
00:55:00-01:00:00,0.7115396898387096,-0.4119909396538462,0.5311315194999999,-0.5217110983695652,0.5845943106617647,-0.38583279642682927,0.3274831829047619,-0.299413414,0.36916708994444447,-0.5785333389298245,0.18917734339655173,-0.11439997569565218,0.2737529739752066,-0.18779184768965518,0.17767297816037736,-0.38118542147727275,0.12476603810526317,-0.47239578903053436,0.0446206728,-0.526467131576923,0.284325689875,-0.24054889672340427,0.593601599322314,-0.19121175603448276,0.5145921840266666,,0.3102990291276596,-0.8254219818640777,0.4794594312727272,-0.5645486499000001,0.15300221073529413,-0.8514017650775862,,-0.9999702229066666,0.143983835,-0.39657723756910573,0.5676005819032258,-0.38972051254545453,0.3126585736847826,-0.3334774924310345,,-0.70611570666,0.49102677981632653,-0.727110467089109,,-0.5740248734733333,,-0.6105522315733333,0.2928962413697479,-0.10419023077419355,,-0.8003882340133334,0.09795282084722222,-0.26247586857692307,0.1307396859722222,-0.4439984655350877,0.6087370130731707,-0.30727014825925925,0.3303240456373626,-0.21530878955932203,0.5596868331744186,-0.696086178515625
01:00:00-01:05:00,0.03168093025,-0.8167111228767123,0.9245109846595745,-0.2978397967777778,0.9564301191333334,,0.4474152806666667,-0.39134099884615386,0.6662039463559322,-0.0927049599375,0.439648606272,-0.13498160375999999,0.34542289346551724,-0.19824120182352942,0.3224472131466667,-0.4464600942133333,,-0.7630997216466666,0.3987303163645833,-0.11990956496296297,0.31960497592,-0.39863273411,0.7656854358510637,-0.317514269,0.8635003959733333,,0.16721248478333334,-0.8582336306999999,0.3808145748611111,-0.08732326923809523,0.5812634215294118,-0.8451161319166666,0.6981677472282609,-0.8312108354310345,0.9313793204333333,-0.34078125193333336,0.5224921916466667,,0.40865103025,-0.4661016726904762,0.3308149792,-0.560757077125,0.23731136363106797,-0.0901651674680851,0.08838750655,-0.18146323530909092,0.5568864418217054,-0.03817697885714286,0.8851037170879121,-0.32647110577966104,0.10141501645679013,-0.3456989930434783,,-0.6085561521133334,0.4983146500735294,-0.05198658028571428,0.27383072133333336,-0.40079496459803926,0.521009741675926,-0.14673222135714287,0.32223209596226415,-0.46137059988659795
01:05:00-01:10:00,0.7830428563333334,-0.8626932633333333,0.1111572224,-0.7603605685047619,0.7930002662790697,-0.8820695578130842,0.19702733579411766,-0.4607954211097561,0.36407717953333335,-0.3176516973619048,0.8623396373666666,,,-0.92447588696,,-0.9996453064866667,0.8253646345983606,-0.08552726207142858,0.22418134399999998,-0.27626255585185183,0.1468719380597015,-0.3806039464457831,0.09974192921621622,-0.3876921520263158,0.7577640356142857,-0.8140330010375001,0.55666654624,,0.18969768724390243,-0.49938230488073393,0.37514636272941176,-0.1728813490923077,0.9999772001066667,,0.7844934320900901,-0.44489080053846153,0.13784920116666668,-0.4513766013823529,0.4423342330681818,-0.5324579217830189,0.7707826063153154,-0.6813926038974359,0.7275445906066667,,0.21891678565,-0.1985053471090909,0.42919407164444445,-0.36334264825,0.6883650628203125,-0.152311005,0.27789591993548385,-0.2282709744117647,0.29768975144642856,-0.6474226084680851,0.24259074253333335,-0.6615273607555555,0.7541810349831933,-0.5282483247741935,0.7001496164592593,-0.05286543746666667,0.8278664767999999,
01:10:00-01:15:00,0.627435076382353,-0.14852004064285712,0.8154408011,-0.6195332155666667,0.43100759801960786,-0.4206269280416666,0.521631423090909,-0.5603788797894736,0.10170299822222223,-0.41512318016666666,0.7428345497142858,-0.2811088347631579,0.3512911789649123,-0.5984479499892473,0.33850902797058824,-0.6893149253658537,0.6995368985066667,,0.531318972927928,-0.3678965911025641,0.5007363000510204,-0.2893196051346154,0.48367071026666664,-0.6651896795904763,0.7933963194269663,-0.8465639020327869,0.9294795711066667,,,-0.6877155393,0.12241947837209302,-0.3008791154112149,0.4093048819894737,-0.45478846689090907,,-0.6626535576733333,0.0534899895,-0.44092891147826085,0.5561868251262136,-0.25965380353191486,0.3594758246640625,-0.4544124042727273,0.8405568265666666,,0.22669035584210528,-0.13773078507272726,,-0.4704439303866667,0.401236849245283,-0.6802337431134021,0.4194961933103448,-0.38625052885123967,0.0821279585,-0.7283396316027397,0.6752715518947369,-0.26501778705454543,0.4775127492459016,-0.2537874891011236,0.5142792679741379,-0.17119781479411764,0.31306385904545453,-0.50828349925
01:15:00-01:20:00,0.3378000317307693,-0.8787060165806451,0.56711134728,-0.67325461432,0.5938687434017857,-0.22195570036842105,0.5864172056382979,-0.6598458128214286,0.19753703245045046,-0.14151975076923076,0.4349083877368421,-0.3229462164516129,0.4523065139579832,-0.14414830719354838,0.5744997152380952,-0.7904850548611111,0.7345827161266666,,0.18521834030232556,-0.5473606181401869,0.09994288064,-0.567451203848,0.34027262518367346,-0.8684335348811881,0.31334075740366973,-0.17405166409756098,0.25589708996774196,-0.7271993105294117,0.45301385836363633,-0.43828292934523805,0.034641614,-0.3690111893971631,0.3645648573009709,-0.07021639131914893,0.851671173733945,-0.7163878114390244,0.26562553092857144,-0.38348413539814813,0.2876931477123288,-0.0032939345,0.412822516,-0.7465525612180451,0.5284219358666666,,0.57238588436,-0.11315786918000001,0.2718352615454545,-0.7721877399285714,,-0.4405957323133333,0.16845618422222222,-0.18914160201449276,0.10745148040000001,-0.5486750381071429,0.4271260637173913,-0.062361693333333336,0.7328060856285715,-0.5539381088173914,0.21715334149999999,-0.43213547630158733,0.0094979482,-0.2866964564206897
01:20:00-01:25:00,0.746152173923077,-0.7847043138832116,0.3727867759032258,-0.5312179779545455,0.26887627031034483,-0.20212489236507936,0.74701995806,,0.22970494739189187,-0.1677837229736842,0.22377063967391306,-0.5567418145,0.8526841567247706,-0.2560312156585366,,-0.8841326911066667,0.5822296005324675,-0.3391352744931507,0.29594618808695655,-0.46582630748076925,0.45980193187671237,-0.8056538361558442,0.2775259132183908,-0.8485231921428571,0.1964861514468085,-0.6954380753300972,,-0.57015636264,0.38041358438461537,-0.030362230285714286,0.33378883817431193,-0.2544497640487805,0.4899603030638298,-0.49390600851456307,0.6368255639134616,-0.08940826876086956,0.530499470539823,-0.44154220016216217,0.6202430340999999,,0.2203076286231884,-0.2604502064197531,0.23905384905952382,-0.22606385336363635,0.404595184953271,-0.10509316646511628,0.7330872332266667,,,-0.7571528557466667,0.4412195896984127,-0.32739211394252876,,-0.6646450336999999,0.32431876502222223,-0.32567176141904763,0.45894215563999996,,0.3538995371742424,-0.12182444133333334,0.4383506329056604,-0.3790116079175258
01:25:00-01:30:00,0.8379235725416666,-0.9363746899803922,0.3097762941588785,-0.08077770541860466,0.15773032815000002,-0.7806297471923077,0.33314397322058825,-0.4055312111585365,0.2601105828470588,-0.4603393247076923,,-0.40968789674,0.21754968369607844,-0.501714447125,,-0.99967557894,0.2669858088,-0.39443548279999996,,-0.66320586494,0.2800629891711712,-0.32172396779487183,0.95461707502,,0.11837201364285714,-0.5770215437786885,0.13317858410294117,-0.1917789091707317,0.6467878249066666,,0.20857858513513514,-0.7187121862035398,0.48945781334042554,-0.4392126658928572,,-0.7755642107066667,0.6600632919074074,-0.4244623410104167,0.5150798845109489,-0.02212445115384615,0.5166664508130081,-0.3554247421481481,0.24958169028205127,-0.3837371728558559,0.28841140025,-0.20448629328301887,0.6847439321066666,,,-0.6443575683599999,0.19775042321052633,-0.29140510829464283,,-0.7302773539066666,0.1320783065757576,-0.6959185929487179,0.7992895988666667,,0.5279671127266667,,0.18303800664444445,-0.4021592031809524
01:30:00-01:35:00,,-0.9999704304666667,0.049789728,-0.6433730673197279,0.5376136646666667,-0.6651812996666666,0.6632863235547445,-0.04220906284615385,,-0.6000034193933333,0.028098556666666667,-0.37219003930612243,0.44561175935714287,-0.12217440483333335,,-0.9997347533066666,0.2411945737,-0.596779777223077,0.20107507736363636,-0.5730529621372549,0.2253771435,-0.40291260734999995,0.8210446619565218,-0.9080204201442308,0.3139418458205128,-0.4403895394774775,0.98204478994,,0.4346836819866667,,,-0.8414514330399999,0.5882233562264151,-0.4079848010681818,,-0.9200420114066666,0.7111085957596899,-0.13090922038095237,0.07519230175949367,-0.46812534652112675,0.3242562120451128,-0.05238960311764706,0.12957711571875,-0.5496732816694916,0.3288903371276596,-0.34477374611650485,0.7063575054333333,,0.7575086786407768,-0.3127998179148936,0.26538264352941177,-0.4255814405555555,0.6992104261237113,-0.33501048164150943,0.42796801398275863,-0.4644174760978261,0.8846053168783783,-0.6877974932236842,0.1869378111923077,-0.4377741774130435,0.34559578726717555,-0.13070024963157895
01:35:00-01:40:00,0.7133904188863637,-0.7156585254677419,0.21895645084210527,-0.36542669593129773,0.6221228072,-0.058349215999999995,0.4814460569431818,-0.23884840658064518,0.6788652549333333,-0.40357586903333337,0.6337460093142857,-0.0331253793,0.256080844890625,-0.7118605156627907,0.089554259,-0.7341361196240601,0.7618517464191177,-0.1293412290714286,0.2921641519206349,-0.3725356763218391,0.5867441070725806,-0.12502610892307692,0.36740849744897963,-0.46063391615841587,0.4097888286891892,-0.38409658855263157,0.772724621787234,-0.03183241688888889,0.5075861510857143,-0.6429721181478262,0.29839794557142857,-0.3684127283625,0.1623637314090909,-0.4423564217735849,0.4945173548666667,-0.9044543246666666,0.44405788756074765,-0.22313809655813957,0.11111831553225807,-0.2310282451818182,0.660852941408,-0.16472074768,0.6982803202941177,-0.487050449929293,0.6273059695581396,-0.28970119353125,0.9926423617733333,,0.687517958838983,-0.28519040121875,0.23936298188,-0.1804644849,0.5006197354642857,-0.5478079189590164,0.6193421952133333,,,-0.8380498545066666,0.09269067151923077,-0.36917211533673466,0.18106057063414635,-0.29330969736764706
